Topic,Subject,Title,District 01 Estimate,District 02 Estimate,District 03 Estimate,District 04 Estimate,District 05 Estimate,District 06 Estimate,District 07 Estimate,District 08 Estimate,District 09 Estimate,District 10 Estimate,District 11 Estimate,District 12 Estimate,District 13 Estimate,District 14 Estimate,District 15 Estimate,District 16 Estimate,District 17 Estimate,District 18 Estimate,District 19 Estimate,District 20 Estimate,District 21 Estimate,District 22 Estimate,District 23 Estimate,District 24 Estimate,District 25 Estimate,District 26 Estimate,District 27 Estimate,District 28 Estimate,District 29 Estimate,District 30 Estimate,District 31 Estimate,District 32 Estimate,District 33 Estimate,District 34 Estimate,District 35 Estimate,District 36 Estimate,District 37 Estimate,District 38 Estimate,District 39 Estimate,District 40 Estimate,District 41 Estimate,District 42 Estimate,District 43 Estimate,District 44 Estimate,District 45 Estimate,District 46 Estimate,District 47 Estimate,District 48 Estimate,District 49 Estimate,District 50 Estimate,District 51 Estimate,District 52 Estimate
People,Sex and Age,Total population,"755,464","743,918","788,130","761,543","782,849","747,786","762,568","752,009","770,568","746,449","701,735","734,171","784,322","725,962","721,009","748,899","744,019","743,048","725,878","794,847","749,912","774,942","768,047","761,285","779,900","739,517","736,850","746,863","719,359","745,825","717,084","760,602","763,598","714,948","749,769","742,266","735,660","723,495","767,217","755,867","811,664","711,011","716,670","737,874","737,224","746,079","754,022","740,583","751,418","781,251","748,700","740,517"
People,Sex and Age,Male,"377,219","370,488","388,114","374,488","387,921","363,458","379,544","379,005","385,575","361,910","360,807","358,430","399,257","363,759","361,348","372,153","383,826","388,559","360,423","394,023","384,233","398,509","384,572","378,920","388,244","368,326","364,090","364,512","365,991","369,972","355,488","376,629","381,514","363,283","373,328","365,048","360,615","358,070","386,090","375,728","415,109","355,265","347,928","356,328","364,528","375,652","365,990","373,609","383,549","391,721","377,791","369,759"
People,Sex and Age,Female,"378,245","373,430","400,016","387,055","394,928","384,328","383,024","373,004","384,993","384,539","340,928","375,741","385,065","362,203","359,661","376,746","360,193","354,489","365,455","400,824","365,679","376,433","383,475","382,365","391,656","371,191","372,760","382,351","353,368","375,853","361,596","383,973","382,084","351,665","376,441","377,218","375,045","365,425","381,127","380,139","396,555","355,746","368,742","381,546","372,696","370,427","388,032","366,974","367,869","389,530","370,909","370,758"
People,Sex and Age,Under 5 years,"41,108","34,058","36,899","35,719","38,502","46,172","41,001","41,205","48,761","38,854","26,291","35,212","55,698","39,353","34,820","39,840","36,901","45,911","30,539","56,464","51,345","54,735","46,097","40,436","47,260","38,217","42,852","31,708","38,146","29,620","40,347","38,367","50,056","30,903","43,567","30,369","38,845","35,389","46,477","44,434","41,821","32,416","41,916","36,831","34,965","35,688","36,139","43,784","38,733","33,670","44,819","43,560"
People,Sex and Age,5 to 9 years,"46,335","39,424","43,170","39,674","44,056","47,300","43,739","41,222","48,766","43,274","23,371","31,069","60,762","42,843","33,486","42,975","37,193","50,826","37,117","52,254","57,714","59,081","51,128","41,151","53,002","45,826","49,751","39,388","39,428","27,196","37,326","37,465","56,545","36,524","49,926","33,716","39,515","43,668","50,244","43,021","49,569","37,515","41,614","46,278","36,486","40,988","36,375","46,887","41,737","31,903","45,216","48,156"
People,Sex and Age,10 to 14 years,"51,257","41,741","51,001","44,827","53,838","47,327","52,243","45,940","63,555","51,760","25,076","36,118","66,720","47,501","40,916","49,253","38,356","50,754","37,836","65,061","66,597","76,076","60,585","40,973","58,636","48,784","57,616","41,597","47,947","32,294","46,245","42,661","60,895","40,415","54,185","39,433","42,710","45,576","53,086","42,381","53,767","42,787","48,233","50,058","53,384","50,710","49,078","52,574","43,406","41,580","36,892","53,048"
People,Sex and Age,15 to 19 years,"54,776","45,514","44,396","53,247","51,342","43,829","55,857","48,473","58,350","46,797","26,946","44,497","65,944","42,990","38,696","51,260","38,447","61,673","54,671","55,746","62,659","70,231","55,514","65,290","57,034","49,527","55,224","46,633","46,971","29,761","44,769","36,919","60,847","39,593","50,982","48,012","57,477","45,757","67,381","44,791","51,460","52,190","49,316","47,689","49,454","51,274","52,395","46,479","49,578","50,759","48,699","46,824"
People,Sex and Age,20 to 24 years,"54,443","38,325","37,079","64,081","39,396","42,456","51,228","48,833","49,946","38,464","34,332","51,961","60,756","30,370","37,996","39,153","45,698","55,412","51,678","46,246","54,422","61,467","56,181","70,906","52,033","47,246","40,710","35,977","46,316","37,715","44,635","44,304","52,612","48,715","49,110","49,275","62,954","41,185","64,031","39,389","45,241","52,280","48,742","50,346","40,932","60,359","51,135","34,616","52,898","60,747","50,735","50,233"
People,Sex and Age,25 to 34 years,"95,873","77,122","83,557","97,236","96,132","118,311","110,346","106,112","106,276","81,430","146,709","122,074","109,858","97,636","102,900","99,633","140,969","106,914","84,679","113,510","111,917","117,630","110,303","97,800","106,005","91,569","89,682","98,646","125,535","145,332","100,880","113,993","116,084","133,696","124,535","113,361","123,775","98,766","124,502","88,839","98,566","117,936","111,217","107,918","100,405","125,280","108,767","91,259","96,630","141,323","128,031","113,170"
People,Sex and Age,35 to 44 years,"96,509","96,569","108,269","97,397","99,168","107,053","114,345","108,676","108,143","108,651","116,997","117,650","108,104","112,415","107,269","102,800","115,987","105,981","90,212","111,470","104,200","105,519","103,800","91,006","99,560","96,558","99,837","95,850","103,774","128,874","95,753","107,153","104,797","117,528","113,991","101,679","108,303","95,616","103,286","99,827","111,356","93,287","99,083","106,150","87,465","105,282","107,766","109,719","90,083","114,853","113,475","111,215"
