Population (Age 18 to 39) for Alabama by County
"All Races (includes Hispanic/Latino), Both Sexes, 2018-2022"
Sorted by Value

County, FIPS,Value (Percent),People (Age 18-39),Rank within US (of 3143 counties)
"United States",00000,29.8,98679467,"N/A"
"Alabama",01000,28.7,1445010,"17 of 52"
"Pike County",01109,39.9,13170,"3,077"
"Tuscaloosa County",01125,38.3,88798,"3,059"
"Lee County",01081,37.9,66456,"3,053"
"Sumter County",01119,36.1,4404,"3,007"
"Macon County",01087,35.4,6802,"2,985"
"Bullock County",01011,30.6,3165,"2,702"
"Madison County",01089,30.4,118373,"2,664"
"Montgomery County",01101,30.2,68928,"2,644"
"Jefferson County",01073,30.0,201803,"2,619"
"Russell County",01113,29.9,17592,"2,592"
"Lauderdale County",01077,29.9,28197,"2,591"
"Calhoun County",01015,29.8,34589,"2,575"
"Elmore County",01051,29.7,26015,"2,558"
"Dale County",01045,29.3,14492,"2,476"
"Mobile County",01097,28.8,119142,"2,362"
"Barbour County",01005,28.5,7090,"2,321"
"Bibb County",01007,28.2,6276,"2,264"
"Autauga County",01001,27.7,16255,"2,118"
"Perry County",01105,27.6,2344,"2,109"
"Limestone County",01083,27.6,28788,"2,102"
"Coffee County",01031,27.4,14672,"2,054"
"Colbert County",01033,27.3,15652,"2,036"
"Shelby County",01117,27.1,60789,"1,991"
"Chambers County",01017,27.0,9352,"1,934"
"Pickens County",01107,26.7,5055,"1,834"
"Escambia County",01053,26.7,9809,"1,825"
"Talladega County",01121,26.6,21597,"1,807"
"DeKalb County",01049,26.6,19056,"1,783"
"Houston County",01069,26.5,28414,"1,764"
"Chilton County",01021,26.4,11905,"1,706"
"St. Clair County",01115,26.3,24152,"1,692"
"Morgan County",01103,26.3,32319,"1,664"
"Lowndes County",01085,26.2,2662,"1,653"
"Hale County",01065,26.2,3857,"1,630"
"Marshall County",01095,26.1,25593,"1,617"
"Walker County",01127,26.1,16974,"1,612"
"Franklin County",01059,26.0,8309,"1,549"
"Dallas County",01047,25.8,9907,"1,516"
"Blount County",01009,25.8,15251,"1,507"
"Etowah County",01055,25.7,26612,"1,488"
"Marengo County",01091,25.6,4914,"1,446"
"Greene County",01063,25.6,1972,"1,432"
"Cullman County",01043,25.6,22559,"1,421"
"Lawrence County",01079,25.4,8408,"1,349"
"Jackson County",01071,25.3,13330,"1,332"
"Washington County",01129,25.3,3903,"1,317"
"Butler County",01013,25.2,4788,"1,292"
"Marion County",01093,25.1,7323,"1,240"
"Wilcox County",01131,25.1,2618,"1,239"
"Cleburne County",01029,24.9,3773,"1,178"
"Fayette County",01057,24.9,4055,"1,161"
"Clarke County",01025,24.8,5728,"1,151"
"Monroe County",01099,24.8,4914,"1,136"
"Clay County",01027,24.8,3521,"1,129"
"Conecuh County",01035,24.7,2863,"1,116"
"Crenshaw County",01041,24.7,3258,"1,098"
"Baldwin County",01003,24.7,57584,"1,097"
"Randolph County",01111,24.5,5431,"1,030"
"Covington County",01039,24.5,9188,"1,023"
"Geneva County",01061,24.4,6515,"1,018"
"Winston County",01133,24.4,5763,"992"
"Tallapoosa County",01123,24.2,9985,"942"
"Henry County",01067,23.5,4069,"727"
"Cherokee County",01019,23.5,5901,"726"
"Choctaw County",01023,22.5,2852,"500"
"Lamar County",01075,21.7,3012,"356"
"Coosa County",01037,21.0,2167,"257"

Suggested Citation:
HDPulse: An Ecosystem of Minority Health and Health Disparities Resources. National Institute on Minority Health and Health Disparities. Created 9/18/2024. Available from https://hdpulse.nimhd.nih.gov

Notes:
Source: Demographic data provided by the Census Bureau (http://www.census.gov/) & the American Community Survey (http://www.census.gov/acs/www/).
"For more information about Population (Age 18 to 39), see the dictionary at http://hdpulse.nimhd.nih.gov/data/dictionary.php#population."
